index,phase,start_ts,end_ts,dur_us
333,LoadMusic(),694840237364,694840237377,13
334,LoadMusic(),694840247388,694840247404,16
335,LoadMusic(),694840257417,694840257434,17
336,LoadMusic(),694840267362,694840267378,16
337,LoadMusic(),694840277480,694840277496,16
338,LoadMusic(),694840287445,694840287461,16
339,LoadMusic(),694840297136,694840297147,11
340,LoadMusic(),694840306865,694840306870,5
341,LoadMusic(),694840316974,694840316978,4
342,LoadMusic(),694840326932,694840326936,4
343,LoadMusic(),694840336992,694840336995,3
344,LoadMusic(),694840347145,694840347156,11
345,LoadMusic(),694840357174,694840357186,12
346,LoadMusic(),694840367135,694840367139,4
347,LoadMusic(),694840377248,694840377260,12
348,LoadMusic(),694840387889,694840387914,25
349,LoadMusic(),694840397398,694840397415,17
350,LoadMusic(),694840407443,694840407459,16
351,LoadMusic(),694840417333,694840417349,16
352,LoadMusic(),694840427532,694840427546,14
353,LoadMusic(),694840437223,694840437235,12
354,LoadMusic(),694840447020,694840447026,6
355,LoadMusic(),694840456898,694840456903,5
356,LoadMusic(),694840466855,694840466858,3
357,LoadMusic(),694840476986,694840476989,3
358,LoadMusic(),694840486878,694840486880,2
359,LoadMusic(),694840496937,694840496939,2
360,LoadMusic(),694840506908,694840506910,2
361,LoadMusic(),694840516920,694840516926,6
362,LoadMusic(),694840526881,694840526883,2
363,LoadMusic(),694840536850,694840536852,2
364,LoadMusic(),694840546932,694840546934,2
365,LoadMusic(),694840556949,694840556952,3
366,LoadMusic(),694840567021,694840567026,5
367,LoadMusic(),694840577137,694840577145,8
368,LoadMusic(),694840587218,694840587225,7
369,LoadMusic(),694840597309,694840597320,11
370,LoadMusic(),694840607367,694840607377,10
371,LoadMusic(),694840617256,694840617264,8
372,LoadMusic(),694840627255,694840627263,8
373,LoadMusic(),694840637618,694840637630,12
374,LoadMusic(),694840647437,694840647449,12
375,LoadMusic(),694840657367,694840657381,14
376,LoadMusic(),694840667401,694840667416,15
377,LoadMusic(),694840677347,694840677363,16
378,LoadMusic(),694840687406,694840687422,16
379,LoadMusic(),694840697359,694840697374,15
380,LoadMusic(),694840707415,694840707431,16
381,LoadMusic(),694840717393,694840717409,16
382,LoadMusic(),694840727201,694840727217,16
383,LoadMusic(),694840737351,694840737367,16
384,LoadMusic(),694840747372,694840747388,16
385,LoadMusic(),694840757769,694840757785,16
386,LoadMusic(),694840767188,694840767198,10
387,LoadMusic(),694840777117,694840777127,10
388,LoadMusic(),694840787221,694840787233,12
389,LoadMusic(),694840797439,694840797455,16
390,LoadMusic(),694840807444,694840807460,16
391,LoadMusic(),694840817399,694840817414,15
392,LoadMusic(),694840827357,694840827373,16
393,LoadMusic(),694840837382,694840837397,15
394,LoadMusic(),694840847347,694840847363,16
395,LoadMusic(),694840857356,694840857371,15
396,LoadMusic(),694840867416,694840867432,16
397,LoadMusic(),694840877412,694840877428,16
398,LoadMusic(),694840887395,694840887410,15
399,LoadMusic(),694840897401,694840897491,90
400,LoadMusic(),694840907193,694840907202,9
401,LoadMusic(),694840917436,694840917449,13
402,LoadMusic(),694840927855,694840927870,15
403,LoadMusic(),694840937377,694840937393,16
404,LoadMusic(),694840947424,694840947439,15
405,LoadMusic(),694840957347,694840957362,15
406,LoadMusic(),694840967293,694840967309,16
407,LoadMusic(),694840977380,694840977395,15
408,LoadMusic(),694840987428,694840987444,16
409,LoadMusic(),694840997406,694840997422,16
410,LoadMusic(),694841007612,694841007628,16
411,LoadMusic(),694841016997,694841017000,3
412,LoadMusic(),694841027058,694841027063,5
413,LoadMusic(),694841037191,694841037202,11
414,LoadMusic(),694841047223,694841047235,12
415,LoadMusic(),694841057190,694841057204,14
416,LoadMusic(),694841067243,694841067260,17
417,LoadMusic(),694841077375,694841077387,12
418,LoadMusic(),694841087375,694841087390,15
419,LoadMusic(),694841097396,694841097410,14
420,LoadMusic(),694841106980,694841106982,2
421,LoadMusic(),694841117057,694841117061,4
422,LoadMusic(),694841127122,694841127130,8
423,LoadMusic(),694841137233,694841137244,11
424,LoadMusic(),694841147343,694841147356,13
425,LoadMusic(),694841157405,694841157421,16
426,LoadMusic(),694841167389,694841167405,16
427,LoadMusic(),694841177506,694841177522,16
428,LoadMusic(),694841187412,694841187428,16
429,LoadMusic(),694841197434,694841197449,15
430,LoadMusic(),694841207218,694841207234,16
431,LoadMusic(),694841217396,694841217412,16
432,LoadMusic(),694841227392,694841227408,16
433,LoadMusic(),694841237357,694841237371,14
434,LoadMusic(),694841247267,694841247279,12
435,LoadMusic(),694841257332,694841257341,9
436,LoadMusic(),694841267242,694841267249,7
437,LoadMusic(),694841277355,694841277367,12
438,LoadMusic(),694841287255,694841287264,9
439,LoadMusic(),694841297197,694841297205,8
440,LoadMusic(),694841307370,694841307382,12
441,LoadMusic(),694841317479,694841317495,16
442,LoadMusic(),694841327407,694841327423,16
443,LoadMusic(),694841337072,694841337074,2
444,LoadMusic(),694841346837,694841346839,2
445,LoadMusic(),694841356839,694841356840,1
446,LoadMusic(),694841367015,694841367017,2
447,LoadMusic(),694841377019,694841377021,2
448,LoadMusic(),694841387003,694841387006,3
449,LoadMusic(),694841397073,694841397078,5
450,LoadMusic(),694841407129,694841407137,8
451,LoadMusic(),694841417128,694841417139,11
452,LoadMusic(),694841427308,694841427319,11
453,LoadMusic(),694841437169,694841437179,10
454,LoadMusic(),694841447223,694841447233,10
455,LoadMusic(),694841457415,694841457431,16
456,LoadMusic(),694841467337,694841467353,16
457,LoadMusic(),694841477620,694841477636,16
458,LoadMusic(),694841487166,694841487169,3
459,LoadMusic(),694841497071,694841497077,6
460,LoadMusic(),694841507248,694841507259,11
461,LoadMusic(),694841516991,694841516995,4
462,LoadMusic(),694841527101,694841527108,7
463,LoadMusic(),694841537178,694841537185,7
464,LoadMusic(),694841547138,694841547143,5
465,LoadMusic(),694841557357,694841557370,13
466,LoadMusic(),694841567324,694841567334,10
467,LoadMusic(),694841577244,694841577251,7
468,LoadMusic(),694841587233,694841587243,10
469,LoadMusic(),694841597363,694841597379,16
470,LoadMusic(),694841607254,694841607285,31
471,LoadMusic(),694841617252,694841617268,16
472,LoadMusic(),694841627699,694841627715,16
473,LoadMusic(),694841637450,694841637465,15
474,LoadMusic(),694841647422,694841647437,15
475,LoadMusic(),694841657989,694841658007,18
476,LoadMusic(),694841667440,694841667456,16
477,LoadMusic(),694841677456,694841677471,15
478,LoadMusic(),694841687424,694841687439,15
479,LoadMusic(),694841697298,694841697313,15
480,LoadMusic(),694841707650,694841707665,15
481,LoadMusic(),694841717470,694841717485,15
482,LoadMusic(),694841727371,694841727386,15
483,LoadMusic(),694841737407,694841737423,16
484,LoadMusic(),694841747382,694841747397,15
485,LoadMusic(),694841757731,694841757747,16
486,LoadMusic(),694841767206,694841767216,10
487,LoadMusic(),694841777337,694841777353,16
488,LoadMusic(),694841787368,694841787383,15
489,LoadMusic(),694841797663,694841797686,23
490,LoadMusic(),694841807381,694841807396,15
491,LoadMusic(),694841817358,694841817374,16
492,LoadMusic(),694841827342,694841827358,16
493,LoadMusic(),694841837633,694841837650,17
494,LoadMusic(),694841847437,694841847453,16
495,LoadMusic(),694841857495,694841857511,16
496,LoadMusic(),694841867394,694841867409,15
497,LoadMusic(),694841877502,694841877517,15
498,LoadMusic(),694841887349,694841887364,15
499,LoadMusic(),694841897527,694841897543,16
500,LoadMusic(),694841907414,694841907429,15
501,LoadMusic(),694841917399,694841917414,15
502,LoadMusic(),694841927359,694841927375,16
503,LoadMusic(),694841937782,694841937800,18
504,LoadMusic(),694841946944,694841946947,3
505,LoadMusic(),694841957461,694841957472,11
506,LoadMusic(),694841967336,694841967350,14
507,LoadMusic(),694841977259,694841977275,16
508,LoadMusic(),694841987454,694841987470,16
509,LoadMusic(),694841997401,694841997417,16
510,LoadMusic(),694842007340,694842007356,16
511,LoadMusic(),694842017096,694842017106,10
512,LoadMusic(),694842027265,694842027275,10
513,LoadMusic(),694842037324,694842037335,11
514,LoadMusic(),694842047429,694842047452,23
515,LoadMusic(),694842057281,694842057293,12
516,LoadMusic(),694842067401,694842067416,15
517,LoadMusic(),694842077793,694842077811,18
518,LoadMusic(),694842087394,694842087410,16
519,LoadMusic(),694842097352,694842097367,15
520,LoadMusic(),694842107342,694842107358,16
521,LoadMusic(),694842117415,694842117450,35
522,LoadMusic(),694842127391,694842127407,16
523,LoadMusic(),694842137318,694842137334,16
524,LoadMusic(),694842147328,694842147344,16
525,LoadMusic(),694842157406,694842157422,16
526,LoadMusic(),694842167247,694842167264,17
527,LoadMusic(),694842177266,694842177277,11
528,LoadMusic(),694842187386,694842187402,16
529,LoadMusic(),694842197309,694842197325,16
530,LoadMusic(),694842207274,694842207284,10
531,LoadMusic(),694842217318,694842217325,7
532,LoadMusic(),694842227270,694842227279,9
533,LoadMusic(),694842237254,694842237264,10
534,LoadMusic(),694842247532,694842247555,23
535,LoadMusic(),694842257282,694842257291,9
536,LoadMusic(),694842267243,694842267251,8
537,LoadMusic(),694842277216,694842277222,6
538,LoadMusic(),694842287447,694842287455,8
539,LoadMusic(),694842297362,694842297379,17
540,LoadMusic(),694842307258,694842307268,10
541,LoadMusic(),694842317442,694842317454,12
542,LoadMusic(),694842327361,694842327378,17
543,LoadMusic(),694842337296,694842337305,9
544,LoadMusic(),694842347423,694842347434,11
545,LoadMusic(),694842357242,694842357252,10
546,LoadMusic(),694842367372,694842367388,16
547,LoadMusic(),694842377159,694842377167,8
548,LoadMusic(),694842387263,694842387275,12
549,LoadMusic(),694842397589,694842397605,16
550,LoadMusic(),694842407401,694842407417,16
551,LoadMusic(),694842417996,694842418018,22
552,LoadMusic(),694842426906,694842426919,13
553,LoadMusic(),694842436989,694842436992,3
554,LoadMusic(),694842446959,694842446961,2
555,LoadMusic(),694842456948,694842456950,2
556,LoadMusic(),694842466932,694842466937,5
557,LoadMusic(),694842476957,694842476959,2
558,LoadMusic(),694842486962,694842486964,2
559,LoadMusic(),694842496964,694842496966,2
560,LoadMusic(),694842507010,694842507013,3
561,LoadMusic(),694842517058,694842517061,3
562,LoadMusic(),694842526919,694842526923,4
563,LoadMusic(),694842536984,694842536989,5
564,LoadMusic(),694842547102,694842547108,6
565,LoadMusic(),694842557363,694842557371,8
566,LoadMusic(),694842567170,694842567177,7
567,LoadMusic(),694842577294,694842577304,10
568,LoadMusic(),694842587322,694842587331,9
569,LoadMusic(),694842597337,694842597346,9
570,LoadMusic(),694842607285,694842607296,11
571,LoadMusic(),694842617262,694842617273,11
572,LoadMusic(),694842627245,694842627255,10
573,LoadMusic(),694842637518,694842637526,8
574,LoadMusic(),694842646918,694842646921,3
575,LoadMusic(),694842656959,694842656962,3
576,LoadMusic(),694842667179,694842667193,14
577,LoadMusic(),694842676961,694842676964,3
578,LoadMusic(),694842686970,694842686973,3
579,LoadMusic(),694842696963,694842696965,2
580,LoadMusic(),694842706945,694842706947,2
581,LoadMusic(),694842716889,694842716891,2
582,LoadMusic(),694842726989,694842726991,2
583,LoadMusic(),694842736927,694842736930,3
584,LoadMusic(),694842746933,694842746938,5
585,LoadMusic(),694842757014,694842757018,4
586,LoadMusic(),694842767343,694842767357,14
587,LoadMusic(),694842777376,694842777385,9
588,LoadMusic(),694842787118,694842787127,9
589,LoadMusic(),694842797262,694842797273,11
590,LoadMusic(),694842807272,694842807288,16
591,LoadMusic(),694842817347,694842817362,15
592,LoadMusic(),694842827464,694842827480,16
593,LoadMusic(),694842837402,694842837417,15
594,LoadMusic(),694842847354,694842847365,11
595,LoadMusic(),694842857001,694842857007,6
596,LoadMusic(),694842867175,694842867186,11
597,LoadMusic(),694842877462,694842877477,15
598,LoadMusic(),694842887319,694842887334,15
599,LoadMusic(),694842897230,694842897238,8
600,LoadMusic(),694842907325,694842907338,13
601,LoadMusic(),694842917490,694842917504,14
602,LoadMusic(),694842927314,694842927330,16
603,LoadMusic(),694842937307,694842937317,10
604,LoadMusic(),694842947692,694842947716,24
605,LoadMusic(),694842957437,694842957448,11
606,LoadMusic(),694842967276,694842967283,7
607,LoadMusic(),694842977325,694842977341,16
608,LoadMusic(),694842987403,694842987419,16
609,LoadMusic(),694842997414,694842997430,16
610,LoadMusic(),694843007387,694843007403,16
611,LoadMusic(),694843017213,694843017223,10
612,LoadMusic(),694843027020,694843027025,5
613,LoadMusic(),694843036843,694843036846,3
614,LoadMusic(),694843046955,694843046957,2
615,LoadMusic(),694843056907,694843056910,3
616,LoadMusic(),694843066954,694843066955,1
617,LoadMusic(),694843076945,694843076948,3
618,LoadMusic(),694843087233,694843087243,10
619,LoadMusic(),694843097126,694843097134,8
620,LoadMusic(),694843107238,694843107247,9
621,LoadMusic(),694843117260,694843117268,8
622,LoadMusic(),694843127337,694843127348,11
623,LoadMusic(),694843137351,694843137362,11
624,LoadMusic(),694843147310,694843147320,10
625,LoadMusic(),694843157354,694843157365,11
626,LoadMusic(),694843167403,694843167419,16
627,LoadMusic(),694843177413,694843177426,13
628,LoadMusic(),694843187422,694843187438,16
629,LoadMusic(),694843197278,694843197295,17
630,LoadMusic(),694843207308,694843207324,16
631,LoadMusic(),694843217351,694843217366,15
